Supplier,Country,PHONE,ADDRESS,SUPPLIERCTCName,SUPPLIERCTCEMAIL
KWUN WAI LOGISTICS LIMITED,Hong Kong,,,,
LANBEIR GARMENT LTD,China,+86 512 3412 5483,"No. 7 East Shangxin Rd, Henjing Wuzhong Suzhou 215103",Jason,jason@lanbeir.cn
LONEON LIGHTING CO LTD,China,,,,
"LUTHAI TEXTILE CO.,LTD.",China,,,,
MAKER & CO / QINGDAO HOSTON WEST SUIT CO LTD,China,,,Grace Sun,Grace@makerco.com.au
MARVIN EAGLE TRADING LIMITED,Hong Kong,,,,
MAXIMO INTERCIONAL S.A.,Portugal,+351 255 340 400,"Lugar Da Longra Rande, 4650-328, FLG",Marcos,marcosribeiro@nobrand.pt
NANNING GUFENG CO. LTD,China,,,,
NINGBO FEIRI IMPORT AND EXPORT CO LTD,China,,,,
"NINGBO QIMENG IMPORT & EXPORT CO.,LTD.",China,+86 574 6578 6881,"No 313 Xiguhu Road, Danxi, Xiangshan, Ningbo",Nancy,Nancy@questrading.com.hk
"NINGBO ROUSE INTERNATIONAL TRADING CO.,LTD",China,,,,
NINGBO TOP GARMENT,China,+86 574 8789 4312,#796 Yao Ga Road 11F Ningbo 315040,Kathy,kathy@nbtop.net
"NINGBO YONGNAN KNITTING CO., LTD",China,,,,
"NINGBO YONGNAN TIMES GARMENT CO., LTD",China,+86 574 6565 6666,"5F Yongnan Building Beitamg, Juexi, Xiangshan, Ningbo 315708",Doreen,Doreen@188.com
NINGBO ZHONGRONG GARMENT,China,+86 574 8817 1703,"RMB1002 Rongan Bldg No. 700 Tiantong Rd, Yinzhou District, Ningbo",Shirley ,shirley.zrong@zrong-nb.com
QUE'S TRADING LIMITED,China,,"RMS 05-15, 13A/F South Tower World Finance CTR Harbour City 17 Canton Rd TST KLN 201199",Nancy,nancy@questrading.com.hk
"RESPECT GELATINOUS PRODUCTS CO., LTD",China,,,,
SAILING INTERNATIONAL LIMITED,China,,,,
SAROJ INTERNATIONAL LEATHERS PVT.LTD.,India,,,,
"SHANGHAI CH GARMENT CO., LTD",China,+86 21 5745 2628,"Room A, 26/F. Shanghai Industry Building, No. 18 Caoxi N Rd, Shanghai",Wendy Cheng,Wendy.cheng@chgarment.com.cn
SHANGHAI TEXTILE DECORATION CORP.(GROUP),China,,"4-5 F, No. 668 (A) Xinhua Road, Shanghai 200052",Sherry,sherry@everpeace.cn
"SHANGHAI UCHEM CO.,LTD.",China,,,,
"SHANGHAI YIBAI INTERNATIONAL TRADING CO., LTD.",China,,,,
SHENZHEN XINRAN MANNEQUINS CO LTD,China,,,,
SPRING AIR TEXTILE GROUP CO LTD,China,+86 139 6245 1784,"Room 503, Building 1, Global Packaging Cen, No. 611, Jianghong Rd, Binjiang District, Hangzhou, Zhejiang 310052",May,may@springairchina.com
STEELE CANVAS BASKET,United States,,,,
SURA LEATHERS PTY LTD (FOOTWEAR DIVISION),India,,,,
T & J GARMENT LIMITED,China,+86 20 6179 0611,"Room C303, 15/F Tak Wing Industrial Building 3 Tsun Wen Road, Tuen Mun, N.T. ",joe,joe@tnjgarment.com.hk
VERTEX GARMENT CO. LTD,China,+86 760 2815 5033,"No 45,47 Donggan Ave, Dongsheng Town, Zhongshan, Guangdong",May,may@vertex1.com.cn
WAGDY MOAMEN GROUP,Egypt,,"3RD Industrial Zone Block B&G El Ta`Awon Station Street, Elobour Cairo",Sara Raouf,sara.raouf@wagdymoamen.com
WENZHOUS YICKTAK TRADE CO,China,+86 577 8895 5796,"RM.382103, North Area, Daziran Garden 31",Michael,michael@yicktak.net.cn 
YITIAN ZHONGSHAN GARMENT,China,,"2/F, Huifu Building NO. 8, Longxing North Road, Shaxi, Zhongshan, Guangdong",June,june@zstoto.com
"ZHEJIANG SENIORWEAR CO., LTD",China,+86 571 8825 5883,"3-2-1102, Silver Building, No. 99 Wen Er West Rd, Hangzhou Zhejiang 310000",Daisy,daisy@seniorwear.com.cn
